"","Acetate","Fructose","Galactose","Gluconate","Glucose","Glycerol","Pyruvate","Succinate"
"b3078",8.25320796108362,7.72975215642473,8.73110892989876,8.42561416928788,9.07641688280277,8.53927436903236,7.85270327008115,8.02389821107678
"b0843",8.76744634894848,8.99132884987666,8.94096294973216,8.96325630398188,8.4333620956652,8.26120588083904,8.40328014838924,8.97224870344325
"b0030",12.1281741887506,9.73632764442646,11.4231262120746,10.214362801789,11.8014889530162,12.1587314333182,11.5759018779061,11.8163019154872
"b2002",5.77222189525015,5.95210646659049,5.95430421796233,5.87053440223093,5.70968270690358,6.21167714594316,6.70487855461138,6.43698439729138
"b2313",15.0394204353153,15.3059916792895,14.6887774506179,15.3827321759225,14.651881136258,14.1345633611635,15.1183550409637,15.1567060333461
"b0486",8.63442921735361,9.63348244977068,8.96214091190151,9.41323189064605,8.96267150053603,10.6831740263593,8.15959147164952,8.66569045085743
"b0525",14.6559074734295,14.911365523857,14.428818712219,14.1683114166868,13.774983976669,13.7018789047265,13.7440556105981,13.5749983751381
"b2327",10.4748409486991,10.8368171794015,10.0154880719335,10.3192481144342,9.58865774092605,10.0973691734415,10.7048679517282,10.9621638160918
"b1873",7.64100771807316,7.51925223347478,7.61138291769261,7.37823583461676,7.57468375987745,7.665492834705,7.32660795537458,7.24201128129193
"b0811",15.1427582716883,14.3752139474985,15.0611705612391,14.2236825378182,14.7939153319115,15.4238855627748,14.7613756024811,15.2320933994868
"b0998",6.55774080450768,6.61338533402535,6.50969638616369,6.26411227329621,6.77977724914271,6.67977475870142,6.78656236739669,7.03681398060244
"b0919",7.73285478850644,7.72079604939321,7.62746903307824,7.52578684630456,8.26853233774285,8.10695857844057,7.47396571154981,7.65045329108753
"b2066",11.6071935273328,11.7686313544028,11.3994380835832,11.662685057946,10.8589417348916,10.5900055419892,11.5474990625485,11.6071861366742
"b1255",12.5088023951546,12.4182088522506,12.2510240996129,12.4411964269181,11.6911637388687,12.3579588814146,12.5415111025398,12.9879668017632
"b2902",9.18730900597983,9.39077701224539,8.71146371754124,8.89580146405985,8.53219707489388,8.8238861479676,9.54644773395927,8.74288468607651
"b0125",12.5659642057469,12.9409687342376,12.4328404334327,12.903536912505,12.5122491069979,12.2435991952547,12.5179420607636,12.4419641875195
"b0246",6.47941469524579,6.62449088660268,6.36452131961706,6.60683684230812,6.26909246339884,6.382301971766,6.67180131283623,6.48580981485292
"b2468",6.1382982702358,6.30076389547741,6.33317714484354,6.37121907988016,6.59680341452185,6.54082870045296,6.58139133750255,6.6834913496081
"b0519",8.00140234816111,8.20994044298225,7.83310294224199,8.28887481342375,8.49721305026316,7.84578472254057,7.29779269144349,6.96235701208899
"b2642",9.17894063575762,9.55142583720792,9.52304504823658,9.67380152847301,10.0531753432471,8.912983179816,8.44279992648855,8.28603598279133
"b2527",13.0232273155535,13.6696627930825,13.1151962831967,13.3739660766596,12.7938692899152,12.6310192895125,13.5287447390754,13.4843505040355
"b3401",9.94005600379362,10.5875777383216,10.3193542600648,10.1771975690215,9.88011556750145,9.91496390220278,10.0233417391323,9.9878688782309
"b0509",6.56429791726065,6.94098260611191,6.9254685655042,6.54431226027775,6.68387286871263,7.52273112533692,6.49431522757786,6.99943431572166
"b1011",11.2337391888402,11.158062366524,11.5778427238287,11.3616433114574,12.1392447062699,10.6912887826288,10.2412737296391,9.94591309640557
"b4372",12.3301857816226,12.581792375118,11.9733279705065,12.2666556181705,11.6603788649623,11.9244611056618,12.5873468624875,12.3095514638479
"b3886",10.6927036451056,10.7032624375707,10.6587030003189,10.2477116890195,10.6312892617008,10.9720278587305,10.3243732172784,10.8750132134047
"b4050",9.09132032370292,8.93179597927806,9.0211987010667,8.62902731003195,8.71380952999482,9.44374451870408,9.0442435588783,9.47739086624383
"b3292",10.0118997437665,10.0276547460574,10.098611787606,9.93290602468623,10.372910857319,10.1142133472503,10.008744247268,10.2251989645378
"b2507",14.2849970082663,15.0862801988824,14.1140826289916,14.8021311469722,13.1998676156789,13.3745736774352,14.6565875946135,14.9818735772703
"b0985",6.83029970251589,7.25613690730981,6.88065343684525,6.91247421181805,6.47381590856604,6.767856793395,7.05114044771435,7.03691760418606
"b0810",13.1224411229123,12.6433003631968,13.0119520240413,12.4398946884278,12.4780435396373,12.6726694693122,11.9959785665733,12.5890767729378
"b0356",11.8696300009457,11.534701078946,11.1524896616181,10.9394624324929,10.9416437794311,10.9901345527416,10.7820283213041,10.9506240458864
"b2395",9.49008694131616,9.52173207339631,9.3873391808912,9.20699061830888,9.25418176080988,8.86900061067252,9.14157687467367,9.1502557395887
"b3551",10.463508014985,10.7416947727139,10.4417498367159,10.6946117887656,10.433433491729,10.2425747954332,10.4886999439328,10.6196451296284
